Ref,Stage,Part,Manufacturer part or SKU,Qty,Required specification,Primary source,Amazon ASIN,Cost low USD,Cost high USD,Evidence status,Notes
C1,1,Raspberry Pi Zero 2 W,Raspberry Pi Zero 2 W,1,"512 MB; 2.4 GHz Wi-Fi; mini HDMI; CSI; 65 x 30 mm","https://www.raspberrypi.com/products/raspberry-pi-zero-2-w/",B09LH5SBPS,25,42,VERIFIED,"Buy the Zero 2 W, not the original Zero W; established seller preferred"
D1,1,Waveshare 3.5-inch 480 x 800 LCD,Waveshare SKU 24037,1,"480 x 800 portrait; five-point capacitive touch; HDMI video; USB touch/power","https://www.waveshare.com/product/3.5inch-480x800-lcd.htm",B0BV2SH8F3,45,55,VERIFIED,"Module 88.87 x 52.56 x 7.15 mm; published maximum power 2 W"
S1,1,microSD card,16-32 GB A1 or A2,1,"Reputable brand; application-rated; verified image and endurance",Amazon or local,,8,15,TARGET,"Pin the kiosk image release and checksum"
V1,1,Mini-HDMI to HDMI interconnect,Short flex or right-angle,1,"Mini-HDMI male to full-HDMI male; shortest safe bend geometry",Amazon or electronics supplier,,8,18,GATE,"Do not order final cable geometry until the 1:1 fit fixture is checked"
U1,1,Micro-USB OTG to USB-C lead,Data-capable short lead,1,"USB data and power; not charge-only",Amazon or electronics supplier,,6,12,GATE,"Connects Pi OTG to display touch/power"
P1,1,Regulated power supply,5 V 2.5-3 A,1,"Known-good supply and low-drop cable",Amazon or local,,10,15,TARGET,"Measure voltage during boot, camera start, and upload"
H1,2,Enclosure fasteners,M2 and M2.5 hardware set,1,"M2 heat-set inserts and screws; M2.5 Pi standoffs",Amazon or local,,5,10,TARGET,"Keep metal outside the Pi antenna zone and away from the battery pouch"
M1,2,Printed Screen Core enclosure,YB-MVB1 CAD revision TBD,1,"PETG or ASA; 1.4-1.6 mm walls; 0.20 mm layers",Local print,,3,10,TARGET,"Publish native CAD, STEP, STL, 3MF, printer profile, and exact hardware revision"
A1,3,I2S microphone breakout,Adafruit PID 3421 SPH0645LM4H,1,"3.3 V I2S; bottom port; 16.7 x 12.7 x 1.8 mm","https://www.adafruit.com/product/3421",,7,10,VERIFIED,"Raspberry Pi ALSA driver configuration remains a build gate"
K1,3,Camera momentary switch,Normally-open low-profile tactile,1,"Side actuation; active-low to GPIO5",Amazon or electronics supplier,,1.5,4,TARGET,"Upper right control with a distinct raised-bar cap"
K2,3,Microphone momentary switch,Normally-open low-profile tactile,1,"Side actuation; active-low to GPIO6",Amazon or electronics supplier,,1.5,4,TARGET,"Lower right control with a shallow-concave cap"
K3,3,Privacy lock switch,Latching slide switch,1,"Recessed top-edge actuator; active-low to GPIO13; visible red flag",Amazon or electronics supplier,,2,5,TARGET,"V1 is a software privacy interlock, not a hard electrical sensor disconnect"
W1,3,Internal harness supplies,28-30 AWG silicone wire set,1,"Wire; heat-shrink; small perfboard; strain relief",Amazon or local,,5,12,TARGET,"Keep I2S wiring short; never apply 5 V to the microphone"
CAM1,4,Raspberry Pi Camera Module 3,Raspberry Pi Camera Module 3,1,"12 MP autofocus; correct 22-to-15-pin Zero cable","https://www.raspberrypi.com/documentation/accessories/camera.html",,25,35,VERIFIED,"CSI is service-removable only; power down before disconnecting"
CAM2,4,Arducam Camera Module 3 kit,Arducam B0312,1,"Camera Module 3-compatible kit including Pi Zero cable",Amazon,B0C9PYCV9S,30,40,VERIFY SELLER,"Sourced alternative to CAM1; confirm listing contents before purchase"
B1,5,PiSugar 3 battery module,PiSugar 3 1200 mAh,1,"Pi Zero footprint; 1200 mAh nominal; power-management interface","https://docs.pisugar.com/docs/product-wiki/battery/pisugar3/pisugar-3-series",B09MJ8SCGD,40,50,VERIFY REVISION,"Install only after the USB-powered Screen Core passes thermal and power gates"
B2,5,Battery Back hardware,YB-MVB1 Battery Back revision TBD,1,"Screw-retained back; cell plus 0.5 mm XY and 1.0 mm Z clearance",Local print and Amazon,,3,8,TARGET,"No screw, boss, rib, or rigid feature may bear on the pouch cell"
